Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
main_wing,130.629018,106.645834,18.373312,15.198281
main_wing,130.666944,106.683761,18.362364,15.190217
horizontal_stabilizer,84.465326,71.617909,7.169390,6.159255
vertical_stabilizer,77.757038,56.300523,11.595433,8.506727
nacelle_1,36.205303,36.098955,3.263708,3.263708
nacelle_1,36.205303,35.953893,3.263708,3.263708
Fuselage,404.414673,392.475792,352.182936,346.303653
Totals,900.343606,805.776668,414.210852,397.885549

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
main_wing_S_Surf0,100.960418,76.977235
main_wing_S_Surf1,100.954918,76.971734
horizontal_stabilizer_S_Surf0,31.951515,25.527807
horizontal_stabilizer_S_Surf1,31.951515,25.527807
vertical_stabilizer_S_Surf0,77.757038,56.300523
nacelle_1_S_Surf0,36.205303,36.098955
nacelle_1_S_Surf0,36.205303,35.953893
Fuselage_S_Surf0,404.414673,392.475792
main_wing_S_Surf0,SS_CONT_0,7.028342,7.028342
main_wing_S_Surf0,SS_CONT_1,19.586470,19.586470
main_wing_S_Surf0,SS_CONT_2,3.053788,3.053788
main_wing_S_Surf1,SS_CONT_0,7.071761,7.071761
main_wing_S_Surf1,SS_CONT_1,19.586470,19.586470
main_wing_S_Surf1,SS_CONT_2,3.053796,3.053796
horizontal_stabilizer_S_Surf0,SS_CONT_0,10.281148,10.281148
horizontal_stabilizer_S_Surf1,SS_CONT_0,10.281148,10.281148
